Codigo Estación	Tipo Estación	Nombre Estación	Nombre de la Corriente Hídrica	Areade la Cuenca (Km2)	Perímetro (Km)	Pendiente Media de la Cuenca (%)	Elevacion Media de la Cuenca (msnm)	Desnivel Cuenca (m)	Compacidad	Densidad de Drenaje (Longitud de Drenajes/km2)	Densidad de Corrientes (Num de Drenajes/km2)	Deficit de agua en el suelo basada en Penman Anual	Pendiente media del cauce (m/m)	Longitud del cauce (m)	Desnivel del cauce (m)	Bosque Km2
24037040	LG	GUICAN	NEVADO	160,778	64,2517	41,581776	4102,039901	2673	1,41882667	0,691120066	0,192812449	396,860647	0,09253612	20003	1851	0,614949
24037070	LM	MAGUNCIA	SOTAQUIRA	140,168	62,5078	26,268688	2929,237164	1175	1,478317803	0,937987144	0,349580503	794,396628	0,028093915	22318	627	19,47627
24037080	LG	GRUTA LA	PESCA	106,294	48,7268	24,30784	3153,757078	1253	1,323340327	1,324942715	0,733813762	581,353826	0,038767698	16457	638	0
24037120	LM	VEGA LA	IZA	100,865	56,4348	23,988667	3154,678257	1309	1,573384166	1,361117593	0,674168443	509,615219	0,048492525	21157,9	1026	0
24037300	LM	PTE COLONIAL	MONGUI	32,2992	25,8451	28,189526	3602,470485	1071	1,273328224	1,087321667	0,433447268	1313,15032	0,077572488	9268,75	719	0
24037370	LG	MOMPA IZQUIERDO	ONZAGA	345,756	100,471	51,858929	2891,060363	2350	1,512912787	1,307247472	0,642071287	453,328298	0,04138729	32497,9	1345	122,6702
24037380	LM	SAN LUIS	NEVADO	223,348	77,7076	41,164039	4060,864571	2723	1,455896471	0,674366397	0,201479306	396,860647	0,089823488	21052,4	1891	0,614949
24037390	LM	CAPITANEJO	CHICAMOCHA	6215,22	560,906	31,428668	2976,669936	4186	1,992140038	1,128785857	0,481157546	775,667982	0,007741338	224509	1738	99,05499
24037410	LM	PTE COLORADO	MINAS	249,743	80,7692	36,388712	3059,215759	1710	1,431057719	1,567410238	0,760782084	998,838826	0,008589672	27125,6	233	0
24037450	LM	MOLINO EL	SALITRE	52,271	38,7122	19,709349	2780,683112	923	1,49925491	1,353131163	0,593063075	1379,636801	0,039191483	12962	508	0
24037480	LM	TRINIDAD LA	SURBA	42,8058	34,5035	36,375403	3419,500862	1333	1,476623834	0,798228207	0,443865084	1151,516984	0,084469188	12501,6	1056	0
24037510	LG	PAZ DE RIO	CHICAMOCHA	2912	326,778	23,427426	2925,846663	1910	1,695567784	1,225854048	0,550309066	938,293121	0,004316712	139458	602	25,49188
24047020	LG	REMOLINO	SUAREZ	9771,59	644,222	29,507944	2238,302493	3776	1,824781902	1,244664499	0,536146113	280,426701	0,010431163	229217	2391	1255,385
24057050	LG	PTE COMUNA	CHUCURI	383,157	111,357	43,628515	1374,839922	2999	1,592895083	1,255163573	0,575482113	526,77845	0,045090825	52050,5	2347	71,47182
24067030	LG	PTE LA PAZ-AUTOMAT	SOGAMOSO	21210,8	973,752	33,928516	2381,42551	5124	1,87209494	1,235011042	0,552312973	489,55098	0,008852489	310986	2753	1896,214
25017010	LG	MONTELIBANO-AUTOMA	SAN JORGE	3944,7	430,856	24,925506	420,621149	3193	1,920804597	0,880046531	0,328668847	351,974053	0,011045391	209137	2310	1000,297
25027080	LM	GRACIAS A DIOS HDA	ANIMITO	322,794	89,1743	37,146368	544,078818	2000	1,389744658	1,201865543	0,421321338	577,858398	0,031763827	35323,2	1122	35,90635
26017020	LG	JULUMITO	CAUCA	733,499	161,473	27,634698	2961,657842	2990	1,66939144	1,040584081	0,26857569	208,997019	0,021951503	67876,9	1490	90,95248
26017040	LM	PTE CARRETERA	PIEDRAS	57,1913	38,124	38,275766	2700,025148	1823	1,411534534	1,25667974	0,40215907	133,789139	0,081635705	16046,9	1310	5,081369
26017060	LG	PTE ARAGON	CAUCA	138,899	66,9482	20,026922	3261,669745	1541	1,590550186	1,067350276	0,248381918	292,584305	0,015856512	11541	183	40,03109
26017070	LG	LOMITAS	CAUCA	71,8709	46,8837	20,782182	3194,212656	538	1,54847204	1,074345931	0,278276743	341,676464	0,020256661	9527,73	193	25,31422
26027080	LM	TOTORO	COFRE	54,0461	46,3236	32,695395	3183,827214	1146	1,764323237	1,780347925	0,795617075	79,923301	0,042041661	18933,6	796	9,800503
26027090	LG	CORTIJO EL	PIENDAMO	150,683	60,1154	36,947634	3353,204047	1277	1,371234222	1,694154019	0,809646742	66,625448	0,038713263	20871,4	808	32,04771
26027100	LG	PTE CARRETERA	PIENDAMO	284,733	107,376	37,06757	3034,293461	2061	1,781748291	1,723476211	0,825334612	76,004096	0,032935586	48397,5	1594	47,91503
26027200	LM	PTE CARRETERA	PALACE	248,27	124,871	27,072427	3042,579311	2061	2,219001005	1,505773682	0,584041568	104,766592	0,030290571	54967,6	1665	42,16596
26027210	LG	PTE FERROCARRIL	QUINAMAYO	150,46	63,5788	22,83951	1318,676366	1629	1,451308802	1,926933045	0,691213612	323,387589	0,007924645	26625,8	211	0,860072
26027240	LG	MALVASA	PALACE	116,575	55,8345	19,9111	3231,375181	801	1,447964621	1,552120129	0,660518979	80,338664	0,020177793	21013,2	424	22,31721
26027250	LG	BUENOS AIRES	LA TETA	127,741	56,8398	22,909045	1338,359604	2113	1,408138642	1,907569841	0,845460737	204,680542	0,018488309	35860,5	663	3,554471
26037010	LG	REMOLINO	SUCIO	155,905	63,2762	25,490158	1997,84633	1437	1,418954271	1,110580405	0,750457009	66,135502	0,043669851	15159,2	662	29,40249
26037030	LM	PTE CARRETERA	HONDO	110,819	77,6514	25,055397	2105,417738	1591	2,065381145	1,09985396	0,315830318	162,187735	0,037283253	31032,7	1157	15,10167
26057030	LG	POTRERITO	JAMUNDI	78,1039	49,6835	42,421437	1834,354325	2820	1,574105563	0,760386075	0,268872617	270,490594	0,056188239	29205,4	1641	16,65386
26057040	LG	TIMBA	TIMBA	396,679	122,895	45,155513	1772,74848	3356	1,727717135	1,425582383	0,717204591	122,904472	0,023886037	37092,8	886	86,62571
26077060	LM	BUCHITOLO	FRAILE	268,274	121,536	45,886882	2469,229357	3298	2,077656168	1,287341147	0,603860232	154,360209	0,060272203	45510,2	2743	2,219137
26107130	LG	MATEGUADUA	TULUA	767,92	146,618	50,691692	2862,911334	3074	1,481451142	1,265039491	0,559954162	64,900029	0,050743223	50765,4	2576	82,43353
26117060	LM	SAN ANTONIO	TORO	57,3111	34,2008	39,282749	1366,864217	1253	1,264954558	1,030046867	0,488561553	871,826788	0,046646462	11383,5	531	1,992686
26127010	LG	ALAMBRADO EL-AUTOM	LA VIEJA	1653,13	261,248	39,151882	2117,242012	3782	1,799109108	1,150135837	0,499960681	350,924362	0,051703343	47424,4	2452	235,299
26127040	LG	CARTAGO	LA VIEJA	2782,48	303,797	31,035464	1800,724578	3901	1,61259566	1,390941266	0,635763779	404,016443	0,022017971	116632	2568	253,0189
26127090	LM	SUCRE	BARBAS	70,4816	56,9707	23,609392	1738,517078	1129	1,900079226	1,629198841	1,035731311	331,815842	0,038122967	23424,2	893	1,599085
26127100	LM	ARABIA	BARBAS	43,5943	46,448	24,334614	1851,710999	973	1,969745856	1,52488635	1,05518382	331,815842	0,041521351	17605,4	731	1,599085
26137110	LG	BANANERA LA 6-909	OTUN	274,943	87,3074	45,547303	3215,415392	3296	1,474306407	1,147912265	0,412812838	342,512564	0,073163938	39131,3	2863	54,06142
26137120	LG	REINA LA	SAN EUGENIO	79,7722	53,2644	36,414454	2491,411177	2679	1,669818568	1,535232274	0,683195399	250,843285	0,103384886	19093,7	1974	0,002792
26147040	LG	BUENOS AIRES	RISARALDA	479,194	152,309	34,15483	2080,739578	2179	1,948174759	1,379774905	0,53840407	60,393035	0,028045043	65394,8	1834	139,4934
26147130	LM	BRETANA LA	MAPA	239,894	84,0735	52,101762	2053,3706	2795	1,519873581	1,13354191	0,458535853	95,450796	0,040429148	26713,4	1080	83,97552
26147140	LG	PTE NEGRO	RISARALDA	836,031	192,762	31,984553	1765,081739	2362	1,86667308	1,349192648	0,471872454	71,098417	0,020849112	96646,8	2015	161,496
26157020	LG	RETIRO EL	CHINCHINA	1046,64	192,555	39,993462	2495,292013	4462	1,666533958	1,309364869	0,521669342	107,587232	0,048779104	74007,1	3610	205,4648
